data_file,total_rewards_masked,masked_rewards_std,mean_masked,total_rewards_marl,marl_rewards_std,mean_marl
pod_dataset_189.csv,0.6227140001476194,0.05091659538365845,0.6227140001476194,0.6356044081091332,0.04402503586913956,0.6356044081091332
pod_dataset_30.csv,0.6178708839225202,0.052824733101568724,0.6178708839225202,0.6175502092224876,0.052557763219471865,0.6175502092224876
pod_dataset_174.csv,0.6167984188769566,0.0558222666817415,0.6167984188769566,0.6251166881306094,0.050419648649245155,0.6251166881306094
pod_dataset_153.csv,0.6411942195272093,0.04304516446597602,0.6411942195272093,0.6433561063632361,0.04171720212230974,0.6433561063632361
pod_dataset_27.csv,0.6222476882883313,0.05152670215824603,0.6222476882883313,0.6302261789300244,0.04748934046968967,0.6302261789300244
pod_dataset_23.csv,0.632825749908346,0.05462378086881857,0.632825749908346,0.6363115349723077,0.05292397994207944,0.6363115349723077
pod_dataset_115.csv,0.6334551657706363,0.04706633139510065,0.6334551657706363,0.6106400413529175,0.05832996921790896,0.6106400413529175
pod_dataset_26.csv,0.6413850116045552,0.05197290367877855,0.6413850116045552,0.6367909133044272,0.05480754196052745,0.6367909133044272
pod_dataset_175.csv,0.6368916846033108,0.04344349976829525,0.6368916846033108,0.6350354006518889,0.0461687654096569,0.6350354006518889
pod_dataset_49.csv,0.6315888135529587,0.04417926164364978,0.6315888135529587,0.6291711261112246,0.045398669343613605,0.6291711261112246
pod_dataset_199.csv,0.635630356125672,0.04599874584416642,0.635630356125672,0.6292208333141617,0.050128581861587286,0.6292208333141617
pod_dataset_158.csv,0.6215027945794999,0.05786478922355219,0.6215027945794999,0.6385563887697995,0.045640485767770494,0.6385563887697995
pod_dataset_73.csv,0.6255404419315115,0.05085400588141763,0.6255404419315115,0.6209062714651031,0.05266619320207755,0.6209062714651031
pod_dataset_124.csv,0.6248459601082632,0.04750087917251649,0.6248459601082632,0.6298089164153622,0.04331256325925614,0.6298089164153622
pod_dataset_1.csv,0.5493310515880677,0.0,0.5493310515880677,0.5460616695745992,0.0,0.5460616695745992
pod_dataset_140.csv,0.6315537006961863,0.049879063141969236,0.6315537006961863,0.6320026525021252,0.0475846972481998,0.6320026525021252
pod_dataset_184.csv,0.6284800678152677,0.04749170489335995,0.6284800678152677,0.6277258972840114,0.04702573128334976,0.6277258972840114
pod_dataset_44.csv,0.6261737804261832,0.04632965202619379,0.6261737804261832,0.6294845213815693,0.04622441653273394,0.6294845213815693
pod_dataset_131.csv,0.6246884809441603,0.05116167726730044,0.6246884809441603,0.6243938860088412,0.05123694905746087,0.6243938860088412
pod_dataset_51.csv,0.640485921016396,0.0465881933616474,0.640485921016396,0.6429371889388056,0.04460875001051383,0.6429371889388056
pod_dataset_5.csv,0.6586309573998801,0.03597381286773621,0.6586309573998801,0.6621078689795803,0.03414392734594934,0.6621078689795803
pod_dataset_150.csv,0.6026168569731787,0.06685098745722977,0.6026168569731787,0.6375061365021105,0.0479354094783758,0.6375061365021105
pod_dataset_122.csv,0.6233095130962558,0.05352215208812347,0.6233095130962558,0.6392635569413013,0.045060993311649665,0.6392635569413013
pod_dataset_125.csv,0.6379985911425861,0.049338872897243514,0.6379985911425861,0.6352073087001451,0.05067147831572437,0.6352073087001451
pod_dataset_53.csv,0.6386229770475746,0.046340500470560986,0.6386229770475746,0.643170011906052,0.04375154085706262,0.643170011906052
pod_dataset_160.csv,0.6328861636877317,0.04779390812128392,0.6328861636877317,0.6314396045225624,0.048696602161462196,0.6314396045225624
pod_dataset_25.csv,0.6393381226776385,0.03928012956214369,0.6393381226776385,0.6105608452276939,0.052415484233842215,0.6105608452276939
pod_dataset_45.csv,0.6247869117805523,0.04595520991189639,0.6247869117805523,0.6334667391596887,0.04251179245956358,0.6334667391596887
pod_dataset_62.csv,0.634614976557004,0.04410489343492177,0.634614976557004,0.6299649135095374,0.04460026198335024,0.6299649135095374
pod_dataset_180.csv,0.6303755611838487,0.04684728927449957,0.6303755611838487,0.634364013672288,0.045516667004875805,0.634364013672288
pod_dataset_59.csv,0.6324707496007501,0.04474084327293015,0.6324707496007501,0.638284754927891,0.04134134172254779,0.638284754927891
pod_dataset_88.csv,0.6376281906973307,0.050798911819470605,0.6376281906973307,0.63675606436226,0.05035970292636392,0.63675606436226
pod_dataset_89.csv,0.6212535882347275,0.05504105338755262,0.6212535882347275,0.6430347752868781,0.04372019514282224,0.6430347752868781
pod_dataset_116.csv,0.6328521299961621,0.04551782445925091,0.6328521299961621,0.6386109777813335,0.042644714101925246,0.6386109777813335
pod_dataset_147.csv,0.6291294749616643,0.04921669630584776,0.6291294749616643,0.6327953594057943,0.04690891412077155,0.6327953594057943
pod_dataset_120.csv,0.6408867265403118,0.043613179389829504,0.6408867265403118,0.6394714856161463,0.0439816863987371,0.6394714856161463
pod_dataset_113.csv,0.6319424604411151,0.04819422223434331,0.6319424604411151,0.6410159940275888,0.04367028276628011,0.6410159940275888
pod_dataset_139.csv,0.6441427735830013,0.04669624943610108,0.6441427735830013,0.6423366396860849,0.04776422349421608,0.6423366396860849
pod_dataset_145.csv,0.6346735073185134,0.04544614575168359,0.6346735073185134,0.6375547906815984,0.04410356073318714,0.6375547906815984
pod_dataset_176.csv,0.6370313153248424,0.04413173332085482,0.6370313153248424,0.6266199567298929,0.04968255265026497,0.6266199567298929
pod_dataset_22.csv,0.6088133701325572,0.047692408584276785,0.6088133701325572,0.6266983460667684,0.040821103241891865,0.6266983460667684
pod_dataset_183.csv,0.6323476496874825,0.04627141427132465,0.6323476496874825,0.638149851805087,0.04271910360366121,0.638149851805087
